allergen,month,days_with_pollen,total_pollen,mean_pollen,season
Acer,2,1,0.49603174603174605,0.49603174603174605,winter
Acer,3,40,229.86694677871148,5.746673669467787,spring
Acer,4,13,103.08706816059758,7.929774473892122,spring
Alnus,1,3,1.7301038062283736,0.5767012687427912,winter
Alnus,2,65,202.5560224089636,3.11624649859944,winter
Alnus,3,84,285.2438088525171,3.3957596291966317,spring
Alnus,4,9,8.66475856864169,0.9627509520712988,spring
Alnus,5,2,1.1854414968601819,0.5927207484300909,spring
Alnus,8,1,0.778089013,0.778089013,summer
Ambrosia,2,1,0.5446623093681917,0.5446623093681917,winter
Ambrosia,5,1,0.5446623093681917,0.5446623093681917,spring
Ambrosia,6,1,0.5446623093681917,0.5446623093681917,summer
Ambrosia,7,1,0.778089013383131,0.778089013383131,summer
Ambrosia,8,92,701.1553986133343,7.621254332753634,summer
Ambrosia,9,111,542.0578725310295,4.883404257036302,autumn
Ambrosia,10,35,53.96994491333211,1.541998426095203,autumn
Ambrosia,11,9,5.991285403050112,0.6656983781166791,autumn
Ambrosia,12,7,24.50980392156866,3.5014005602240945,winter
Apiaceae,4,7,4.561546840958606,0.6516495487083722,spring
Apiaceae,5,5,2.6260504201680672,0.5252100840336135,spring
Apiaceae,6,10,5.699502023031435,0.5699502023031435,summer
Apiaceae,7,9,5.699502023031435,0.6332780025590483,summer
Apiaceae,8,2,0.9920634920634921,0.49603174603174605,summer
Apiaceae,12,1,0.5446623093681917,0.5446623093681917,winter
Artemisia,1,1,2.178649237472767,2.178649237472767,winter
Artemisia,2,2,1.0893246187363834,0.5446623093681917,winter
Artemisia,5,2,1.0893246187363834,0.5446623093681917,spring
Artemisia,6,1,0.5446623093681917,0.5446623093681917,summer
Artemisia,7,16,13.46526264826918,0.8415789155168237,summer
Artemisia,8,68,93.8124886831786,1.37959542181145,summer
Artemisia,9,102,194.605465642786,1.907896721988098,autumn
Artemisia,10,65,72.12942366489082,1.1096834409983203,autumn
Artemisia,11,11,8.802131963896672,0.8001938148996974,autumn
Artemisia,12,7,10.076252723311551,1.4394646747587931,winter
Betula,1,1,1.0893246187363834,1.0893246187363834,winter
Betula,2,8,6.390056022408963,0.7987570028011204,winter
Betula,3,23,17.70584777120725,0.7698194683133587,spring
Betula,4,51,157.71711734706057,3.0924924970011873,spring
Betula,5,23,39.70898453610147,1.7264775885261507,spring
Betula,6,1,0.778089013,0.778089013,summer
Cannabaceae,3,4,6.244164332399626,1.5610410830999064,spring
Cannabaceae,4,34,80.26960784313725,2.3608708189158016,spring
Cannabaceae,5,6,4.610177404295051,0.7683629007158418,spring
Cannabaceae,6,20,29.9077964519141,1.495389822595705,summer
Cannabaceae,7,8,8.928571428571429,1.1160714285714286,summer
Cannabaceae,8,20,26.036803610333024,1.3018401805166513,summer
Cannabaceae,9,6,11.457360722066605,1.9095601203444341,autumn
Carpinus,2,4,3.520852785558668,0.880213196389667,winter
Carpinus,3,76,638.0402378816451,8.395266287916384,spring
Carpinus,4,153,2852.119987426859,18.64130710736509,spring
Carpinus,5,66,238.1080791059578,3.607698168272088,spring
Carpinus,6,6,4.758230452142373,0.7930384086903954,summer
Carpinus,7,3,2.161358369742435,0.720452789914145,summer
Carpinus,10,1,0.5446623093681917,0.5446623093681917,autumn
Carpinus,12,1,0.68082788671024,0.68082788671024,winter
Castanea,5,1,0.5446623093681917,0.5446623093681917,spring
Castanea,6,23,35.70455960161843,1.5523721565921056,summer
Castanea,7,16,14.375194522253345,0.8984496576408341,summer
Chenopodiaceae,1,1,0.5446623093681917,0.5446623093681917,winter
Chenopodiaceae,2,2,1.0406940553999378,0.5203470276999689,winter
Chenopodiaceae,3,5,3.6181139122315593,0.7236227824463118,spring
Chenopodiaceae,4,8,5.733829479520239,0.7167286849400298,spring
Chenopodiaceae,5,37,35.76266199930771,0.9665584324137219,spring
Chenopodiaceae,6,20,13.83948641138019,0.6919743205690094,summer
Chenopodiaceae,7,44,53.00718689756922,1.2047087931265732,summer
Chenopodiaceae,8,143,368.4762576035738,2.576757046178838,summer
Chenopodiaceae,9,139,330.2923021021519,2.376203612245697,autumn
Chenopodiaceae,10,65,79.67574284615809,1.225780659171663,autumn
Chenopodiaceae,11,14,10.949314366269387,0.7820938833049562,autumn
Chenopodiaceae,12,10,17.156862745098035,1.7156862745098036,winter
Cichorioideae,3,2,1.0893246187363834,0.5446623093681917,spring
Cichorioideae,4,1,0.5446623093681917,0.5446623093681917,spring
Cichorioideae,5,2,0.9920634920634921,0.49603174603174605,spring
Cichorioideae,9,1,0.49603174603174605,0.49603174603174605,autumn
Corylus,1,4,5.542739971805715,1.3856849929514288,winter
Corylus,2,68,254.2308590102708,3.7386891030922174,winter
Corylus,3,63,153.29027398904364,2.433178952207042,spring
Corylus,4,7,6.133680777572361,0.8762401110817659,spring
Corylus,5,1,0.64077918749199,0.64077918749199,spring
Corylus,6,2,1.0893246187363834,0.5446623093681917,summer
Corylus,8,1,0.68082788671024,0.68082788671024,summer
Corylus,12,1,0.68082788671024,0.68082788671024,winter
Cupressaceae,1,28,481.41740356273226,17.193478698669008,winter
Cupressaceae,2,109,10723.797852474323,98.38346653646168,winter
Cupressaceae,3,156,25183.993463543735,161.43585553553677,spring
Cupressaceae,4,173,5777.987238829565,33.39877016664489,spring
Cupressaceae,5,157,838.4647159474154,5.340539592021754,spring
Cupressaceae,6,81,91.80076351270337,1.133342759416091,summer
Cupressaceae,7,37,39.57332751327001,1.0695493922505408,summer
Cupressaceae,8,15,15.770351348436005,1.0513567565624002,summer
Cupressaceae,9,37,35.358742262785846,0.9556416827779959,autumn
Cupressaceae,10,48,77.57947950422,1.6162391563379168,autumn
Cupressaceae,11,33,73.62438439428055,2.231041951341835,autumn
Cupressaceae,12,51,268.3857856868238,5.262466386016153,winter
Cyperaceae,3,2,1.0406940553999378,0.5203470276999689,spring
Cyperaceae,4,7,5.602240896358543,0.8003201280512204,spring
Cyperaceae,5,4,2.528789293495176,0.632197323373794,spring
Cyperaceae,6,3,2.03275754746343,0.6775858491544766,summer
Cyperaceae,7,1,0.49603174603174605,0.49603174603174605,summer
Cyperaceae,8,2,0.9920634920634921,0.49603174603174605,summer
Cyperaceae,9,2,1.0406940553999378,0.5203470276999689,autumn
Ericaceae,2,3,5.9523809523809526,1.9841269841269842,winter
Ericaceae,3,10,16.369047619047617,1.6369047619047616,spring
Ericaceae,4,6,5.397992530345472,0.8996654217242454,spring
Ericaceae,8,1,0.5446623093681917,0.5446623093681917,summer
Ericaceae,9,1,0.49603174603174605,0.49603174603174605,autumn
Ericaceae,10,16,23.313492063492063,1.457093253968254,autumn
Fabaceae,2,15,28.1181917211329,1.8745461147421933,winter
Fabaceae,3,15,17.351384998443823,1.1567589998962549,spring
Fabaceae,4,9,10.066526610644258,1.118502956738251,spring
Fabaceae,5,2,1.0406940553999378,0.5203470276999689,spring
Fabaceae,6,4,3.170712729536259,0.7926781823840647,summer
Fabaceae,7,12,14.472455648926237,1.206037970743853,summer
Fabaceae,8,5,4.016884531590414,0.8033769063180827,summer
Fabaceae,9,2,1.4880952380952381,0.7440476190476191,autumn
Fabaceae,10,1,1.9841269841269842,1.9841269841269842,autumn
Fagus,3,12,9.123093681917211,0.7602578068264343,spring
Fagus,4,27,69.09430438842203,2.5590483106822974,spring
Fagus,5,11,10.844615624027387,0.9858741476388534,spring
Fraxinus,2,5,9.424603174603176,1.884920634920635,winter
Fraxinus,3,16,47.06465919701214,2.941541199813259,spring
Fraxinus,4,2,3.2679738562091503,1.6339869281045751,spring
Juglans,3,4,2.130018674136321,0.5325046685340803,spring
Juglans,4,29,36.920323685029565,1.2731146098286057,spring
Juglans,5,4,2.03275754746343,0.5081893868658575,spring
Ligustrum,2,1,0.5446623093681917,0.5446623093681917,winter
Ligustrum,3,2,1.0893246187363834,0.5446623093681917,spring
Ligustrum,4,2,1.0893246187363834,0.5446623093681917,spring
Ligustrum,6,9,10.650093370681605,1.1833437078535116,summer
Ligustrum,7,3,2.0813881107998755,0.6937960369332918,summer
Ligustrum,8,1,0.49603174603174605,0.49603174603174605,summer
Liquidambar,2,3,2.0813881107998755,0.6937960369332918,winter
Liquidambar,3,21,32.52412075941488,1.5487676552102323,spring
Liquidambar,4,1,0.5446623093681917,0.5446623093681917,spring
Moraceae,2,1,0.49603174603174605,0.49603174603174605,winter
Moraceae,3,25,192.21716464363524,7.68868658574541,spring
Moraceae,4,25,301.1496265172736,12.045985060690944,spring
Myricaceae,6,1,0.5446623093681917,0.5446623093681917,summer
Myricaceae,10,1,1.0,1.0,autumn
Myrtaceae,7,1,0.49603174603174605,0.49603174603174605,summer
Olea,3,7,6.448412698412699,0.921201814058957,spring
Olea,4,38,96.3371459694989,2.5351880518289187,spring
Olea,5,50,484.8369903516963,9.696739807033925,spring
Olea,6,12,13.470666044195454,1.1225555036829544,summer
Olea,7,1,0.5446623093681917,0.5446623093681917,summer
Oleaceae,2,1,0.5446623093681917,0.5446623093681917,winter
Oleaceae,3,31,75.71162088655362,2.442310351179149,spring
Oleaceae,4,80,233.3077021649458,2.9163462770618223,spring
Oleaceae,5,106,1027.3892418114476,9.692351337843846,spring
Oleaceae,6,58,114.40502126546043,1.9725003666458696,summer
Oleaceae,7,12,10.625237747589445,0.885436478965787,summer
Oleaceae,8,10,6.809295975774419,0.6809295975774419,summer
Oleaceae,9,4,2.5871459697886716,0.6467864924471679,autumn
Oleaceae,11,1,0.64077918749199,0.64077918749199,autumn
Oleaceae,12,1,0.68082788671024,0.68082788671024,winter
Papaveraceae,5,1,0.49603174603174605,0.49603174603174605,spring
Papaveraceae,6,1,0.5446623093681917,0.5446623093681917,summer
Papaveraceae,8,1,0.49603174603174605,0.49603174603174605,summer
Pinaceae,1,4,2.7233115468409586,0.6808278867102396,winter
Pinaceae,2,16,26.824618736383446,1.6765386710239654,winter
Pinaceae,3,89,2154.045986586355,24.202763894228706,spring
Pinaceae,4,170,5095.33694559674,29.97257026821612,spring
Pinaceae,5,165,1215.0378034254927,7.363865475306016,spring
Pinaceae,6,107,341.6889904061184,3.193355050524471,summer
Pinaceae,7,69,78.1655254679338,1.1328337024338233,summer
Pinaceae,8,38,40.13960340747338,1.056305352828247,summer
Pinaceae,9,25,21.528210050031408,0.8611284020012563,autumn
Pinaceae,10,36,31.634467512495203,0.8787352086804223,autumn
Pinaceae,11,39,40.82449973453435,1.0467820444752398,autumn
Pinaceae,12,14,15.771177752146626,1.126512696581902,winter
Plantago,1,1,0.5446623093681917,0.5446623093681917,winter
Plantago,2,4,2.0813881107998755,0.5203470276999689,winter
Plantago,3,11,11.397859797513776,1.0361690725012525,spring
Plantago,4,83,140.9880128517077,1.6986507572494904,spring
Plantago,5,114,208.07511457475124,1.8252203032872916,spring
Plantago,6,81,89.35626719593752,1.1031637925424385,summer
Plantago,7,54,78.24867419542497,1.4490495221374995,summer
Plantago,8,45,39.1559946411185,0.8701332142470777,summer
Plantago,9,28,21.148891655427608,0.7553175591224146,autumn
Plantago,10,13,9.763872869409203,0.7510671438007079,autumn
Plantago,11,4,2.68326284762271,0.6708157119056775,autumn
Plantago,12,4,2.4509803921568634,0.6127450980392158,winter
Platanus,2,3,2.03275754746343,0.6775858491544766,winter
Platanus,3,100,6126.331015340051,61.26331015340051,spring
Platanus,4,162,7798.597189445164,48.13948882373558,spring
Platanus,5,45,70.3932171997499,1.5642937155499976,spring
Platanus,6,12,9.126644484719716,0.7605537070599763,summer
Platanus,7,6,4.979769685268906,0.8299616142114843,summer
Platanus,8,3,2.334267039,0.7780890130000001,summer
Platanus,9,4,3.40413943384096,0.85103485846024,autumn
Platanus,10,4,3.4041394335512,0.8510348583878,autumn
Platanus,11,4,4.821863385877227,1.2054658464693067,autumn
Platanus,12,1,0.68082788671024,0.68082788671024,winter
Poaceae,1,1,0.5446623093681917,0.5446623093681917,winter
Poaceae,2,3,2.626050420168067,0.8753501400560223,winter
Poaceae,3,43,31.63027193448185,0.7355877194065547,spring
Poaceae,4,85,136.56568291612746,1.6066550931309114,spring
Poaceae,5,164,932.2117917563533,5.684218242416788,spring
Poaceae,6,128,251.20727303140558,1.962556820557856,summer
Poaceae,7,98,213.6144853555848,2.1797396464855594,summer
Poaceae,8,108,176.47808942202474,1.6340563835372661,summer
Poaceae,9,123,308.31885223181314,2.506657335217993,autumn
Poaceae,10,82,121.75090624485092,1.4847671493274504,autumn
Poaceae,11,16,14.720757584079387,0.9200473490049617,autumn
Poaceae,12,9,24.237472766884572,2.6930525296538415,winter
Populus,2,28,70.8352785558668,2.5298313769952427,winter
Populus,3,113,346.55366322273284,3.066846577192326,spring
Populus,4,50,91.19095168893786,1.8238190337787572,spring
Populus,5,1,1.21036068748487,1.21036068748487,spring
Populus,6,3,3.812636165577342,1.270878721859114,summer
Populus,7,2,6.769374416368192,3.384687208184096,summer
Populus,9,1,0.5446623093681917,0.5446623093681917,autumn
Populus,10,1,0.5446623093681917,0.5446623093681917,autumn
Quercus,1,1,0.5446623093681917,0.5446623093681917,winter
Quercus,2,3,1.6339869281045751,0.5446623093681917,winter
Quercus,3,74,350.8419253685497,4.741107099574996,spring
Quercus,4,156,11703.775664222616,75.024202975786,spring
Quercus,5,175,8356.35078286855,47.750575902106,spring
Quercus,6,80,169.74552166489732,2.1218190208112166,summer
Quercus,7,22,23.57717778433029,1.0716898992877404,summer
Quercus,8,6,4.190873880416364,0.6984789800693939,summer
Quercus,9,13,10.817598644396032,0.8321229726458486,autumn
Quercus,10,15,19.471677559912862,1.2981118373275242,autumn
Quercus,11,6,4.76579520697168,0.7942992011619466,autumn
Quercus,12,9,6.00730488273741,0.6674783203041567,winter
Rosaceae,3,12,8.228291316526612,0.6856909430438843,spring
Rosaceae,4,1,0.5446623093681917,0.5446623093681917,spring
Rosaceae,6,1,0.49603174603174605,0.49603174603174605,summer
Rumex,2,1,0.5446623093681917,0.5446623093681917,winter
Rumex,4,22,19.92759703736251,0.9057998653346595,spring
Rumex,5,96,140.8751772290513,1.4674497628026177,spring
Rumex,6,71,77.54521561651347,1.0921861354438518,summer
Rumex,7,29,64.13398692303234,2.211516790449391,summer
Rumex,8,8,7.528011204183007,0.9410014005228758,summer
Rumex,9,8,5.174291939287583,0.6467864924109479,autumn
Rumex,10,2,1.857687519452226,0.928843759726113,autumn
Rumex,12,1,0.68082788671024,0.68082788671024,winter
Salix,2,15,175.09920634920636,11.673280423280424,winter
Salix,3,31,311.09943977591035,10.035465799222914,spring
Salix,4,9,17.973856209150327,1.9970951343500363,spring
Thalictrum,2,3,1.4880952380952381,0.49603174603174605,winter
Thalictrum,3,3,3.4722222222222223,1.1574074074074074,spring
Thalictrum,4,16,18.353174603174605,1.1470734126984128,spring
Thalictrum,5,14,16.913709928415813,1.2081221377439866,spring
Thalictrum,6,2,0.9920634920634921,0.49603174603174605,summer
Thalictrum,7,4,1.9841269841269842,0.49603174603174605,summer
Thalictrum,8,9,6.001011515717398,0.6667790573019331,summer
Thalictrum,9,9,6.2441643323996265,0.6937960369332918,autumn
Thalictrum,10,9,9.01610644257703,1.001789604730781,autumn
Tilia,5,3,1.5367258014316838,0.5122419338105613,spring
Tilia,7,1,0.49603174603174605,0.49603174603174605,summer
Ulmus,1,1,0.5446623093681917,0.5446623093681917,winter
Ulmus,2,74,237.39495798319328,3.2080399727458553,winter
Ulmus,3,78,131.232213291998,1.6824642729743333,spring
Ulmus,4,10,13.395844902465573,1.3395844902465572,spring
Ulmus,7,1,0.778089013,0.778089013,summer
Ulmus,12,1,2.04248366013072,2.04248366013072,winter
Urticaceae,1,9,7.272843778034089,0.8080937531148987,winter
Urticaceae,2,22,33.020152505446625,1.5009160229748466,winter
Urticaceae,3,106,600.4023432176066,5.664173049222704,spring
Urticaceae,4,175,24833.92605408536,141.90814888048777,spring
Urticaceae,5,180,2729.132021358606,15.161844563103367,spring
Urticaceae,6,148,718.0332009682869,4.851575682218154,summer
Urticaceae,7,131,666.4201446790969,5.087176676939671,summer
Urticaceae,8,139,457.36885893545804,3.290423445578835,summer
Urticaceae,9,61,65.26113531822247,1.0698546773479094,autumn
Urticaceae,10,43,33.9035123853463,0.7884537764034024,autumn
Urticaceae,11,36,44.29386133538383,1.2303850370939953,autumn
Urticaceae,12,38,61.683006535947726,1.6232370141038874,winter
Ypoloipa,8,18,32.6797385620915,1.8155410312273057,summer
Ypoloipa,9,12,15.250544662309368,1.270878721859114,autumn
Ypoloipa,10,7,3.812636165577342,0.5446623093681917,autumn
Ypoloipa,11,2,1.0893246187363834,0.5446623093681917,autumn
other Asteroideae,2,2,1.4880952380952381,0.7440476190476191,winter
other Asteroideae,3,2,1.0406940553999378,0.5203470276999689,spring
other Asteroideae,4,10,6.001011515717398,0.6001011515717398,spring
other Asteroideae,5,3,1.4880952380952381,0.49603174603174605,spring
other Asteroideae,6,5,3.1220821661998133,0.6244164332399627,summer
other Asteroideae,7,5,2.9761904761904763,0.5952380952380952,summer
other Asteroideae,8,4,2.03275754746343,0.5081893868658575,summer
other Asteroideae,9,7,6.448412698412699,0.921201814058957,autumn
other Asteroideae,10,1,0.49603174603174605,0.49603174603174605,autumn
other Asteroideae,11,1,0.49603174603174605,0.49603174603174605,autumn
other Oleaceae,2,8,24.305555555555557,3.0381944444444446,winter
other Oleaceae,3,20,37.2510115157174,1.86255057578587,spring
other Oleaceae,4,12,10.202692187986305,0.8502243489988587,spring
other Oleaceae,5,7,5.991285403050108,0.855897914721444,spring
other Oleaceae,7,2,1.0406940553999378,0.5203470276999689,summer
